nombre,marca,modelo,sku,categoria,condicion,estado,stock,stockMinimo,costoUSD,precioVentaBaseUSD
Almacenamiento SSD 512 GB HIKSEMI,,,ALMACENAMIENTO-SSD-512-GB-HIKSEMI,SSD,nuevo,activo,2,1,0,0
Almacenamiento SSD 512 GB Patriot,,,ALMACENAMIENTO-SSD-512-GB-PATRIOT,SSD,nuevo,activo,0,1,0,0
Almacenamiento SSD 960 GB Kingston,,,ALMACENAMIENTO-SSD-960-GB-KINGSTON,SSD,nuevo,activo,0,1,0,0
Almacenamiento SSD 960 GB Lexar,,,ALMACENAMIENTO-SSD-960-GB-LEXAR,SSD,nuevo,activo,0,1,0,0
Almacenamiento SSD 960 GB Patriot,,,ALMACENAMIENTO-SSD-960-GB-PATRIOT,SSD,nuevo,activo,0,1,0,0
Almacenamiento SSD m.2 1 TB Kingston,,,ALMACENAMIENTO-SSD-M-2-1-TB-KINGST,SSD,nuevo,activo,0,1,0,0
Almacenamiento SSD m.2 1 TB MSI Spatium - 7000,,,ALMACENAMIENTO-SSD-M-2-1-TB-MSI-SP,SSD,nuevo,activo,0,1,0,0
Almacenamiento SSD m.2 1 TB Samsung evo plus,,,ALMACENAMIENTO-SSD-M-2-1-TB-SAMSUN,SSD,nuevo,activo,0,1,0,0
Almacenamiento SSD m.2 1 TB Teamgroup - 7400,,,ALMACENAMIENTO-SSD-M-2-1-TB-TEAMGR,SSD,nuevo,activo,0,1,0,0
Almacenamiento SSD m.2 128 GB (PEQ. SIN CAJA),,,ALMACENAMIENTO-SSD-M-2-128-GB-PEQ-,SSD,nuevo,activo,0,1,0,0
Almacenamiento SSD m.2 128 GB (SIN CAJA),,,ALMACENAMIENTO-SSD-M-2-128-GB-SIN-,SSD,nuevo,activo,0,1,0,0
Almacenamiento SSD m.2 128 GB Patriot - 2280,,,ALMACENAMIENTO-SSD-M-2-128-GB-PATR,SSD,nuevo,activo,3,1,0,0
Almacenamiento SSD m.2 960GB MSI,,,ALMACENAMIENTO-SSD-M-2-960GB-MSI,SSD,nuevo,activo,1,1,0,0
Almacenamiento SSD m.2 2 TB Patriot,,,ALMACENAMIENTO-SSD-M-2-2-TB-PATRIO,SSD,nuevo,activo,1,1,0,0
Almacenamiento SSD m.2 2 TB Samsung evo plus,,,ALMACENAMIENTO-SSD-M-2-2-TB-SAMSUN,SSD,nuevo,activo,0,1,0,0
Almacenamiento SSD m.2 250 GB kingston copia,,,ALMACENAMIENTO-SSD-M-2-250-GB-KING,SSD,nuevo,activo,0,1,0,0
Almacenamiento SSD m.2 256 GB 256GB HIKSEMI,,,ALMACENAMIENTO-SSD-M-2-256-GB-256G,SSD,nuevo,activo,9,1,0,0
Almacenamiento SSD m.2 500 GB MSI,,,ALMACENAMIENTO-SSD-M-2-500-GB-MSI,SSD,nuevo,activo,1,1,0,0
Almacenamiento SSD m.2 500 GB Kingston,,,ALMACENAMIENTO-SSD-M-2-500-GB-KING,SSD,nuevo,activo,0,1,0,0
Almacenamiento SSD m.2 512 GB T-FORCE,,,ALMACENAMIENTO-SSD-M-2-512-GB-T-FO,SSD,nuevo,activo,1,1,0,0
Almacenamiento SSD m.2 512 GB Patriot,,,ALMACENAMIENTO-SSD-M-2-512-GB-PATR,SSD,nuevo,activo,4,1,0,0
